value average
0.01 85.29
0.02 54.82
0.03 38.93
0.04 32.65
0.05 27.5
0.06 27.39
0.07 25.21
0.08 24.08
0.09 22.31
0.1 21.79
0.11 20.97
0.12 20.61
0.13 20.76
0.14 20.02
0.15 19.82
0.16 19.45
0.17 19.56
0.18 18.96
0.19 18.43
0.2 18.65
0.21 18.53
0.22 18.05
0.23 17.91
0.24 18.08
0.25 17.67
0.26 17.26
0.27 17.15
0.28 17.67
0.29 17.66
0.3 16.41
0.31 18.38
0.32 17.06
0.33 17.07
0.34 16.74
0.35 16.57
0.36 16.78
0.37 16.44
0.38 15.94
0.39 16.39
0.4 16.79
0.41 17.04
0.42 16.27
0.43 17.3
0.44 17.36
0.45 18.12
0.46 18.56
0.47 18.86
0.48 19.29
0.49 19.27
0.5 20.03
0.51 19.53
0.52 19.61
0.53 19.32
0.54 19.16
0.55 19.72
0.56 19.31
0.57 20.41
0.58 20.15
0.59 20.25
0.6 21.75
0.61 21.64
0.62 21.97
0.63 21.65
0.64 21.8
0.65 21.87
0.66 23.43
0.67 24.04
0.68 23.8
0.69 24.45
0.7 25.04
0.71 25.33
0.72 25.13
0.73 26.68
0.74 27.2
0.75 26.52
0.76 26.1
0.77 27.32
0.78 28.96
0.79 29.8
0.8 30.42
0.81 31.68
0.82 33.34
0.83 36.4
0.84 37.83
0.85 40.8
0.86 44.14
0.87 46.43
0.88 49.57
0.89 54.19
0.9 61.55
0.91 68.91
0.92 75.98
0.93 89.86
0.94 100.16
0.95 125.28
0.96 155.34
0.97 206.12
0.98 312.5
0.99 476.95
